a,b,c,root0
0.3333333333333,-1,1,7.38489643490508702378797862698
0.3333333333333,-1,2,4.43224995041542004252371849182
0.3333333333333,-0.5,1,5.88489643490508702378797862698
0.3333333333333,-0.5,2,2.93224995041542004252371849182
0.3333333333333,0.33333333333,1,5.38489643490508702378797862698
0.3333333333333,0.33333333333,2,2.43224995041542004252371849182
0.3333333333333,0,1,4.38489643490508702378797862698
0.3333333333333,0,2,1.43224995041542004252371849182
0.3333333333333,0.3333333333333,1,3.38489643490508702378797862698
0.3333333333333,0.3333333333333,2,0.432249950415420042523718491816
0.3333333333333,0.5,1,2.88489643490508702378797862698
0.3333333333333,0.5,2,-0.0677500495845799574762815081844
0.3333333333333,1,1,1.38489643490508702378797862698
0.3333333333333,1,2,-1.56775004958457995747628150818
0.5,-1,1,4.92326428993672468252531908465
0.5,-1,2,3.29006948633334450267091795643
0.5,-0.5,1,3.92326428993672468252531908465
0.5,-0.5,2,2.29006948633334450267091795643
0.5,0.33333333333,1,3.58993095660339134919198575132
0.5,0.33333333333,2,1.95673615300001116933758462309
0.5,0,1,2.92326428993672468252531908465
0.5,0,2,1.29006948633334450267091795643
0.5,0.3333333333333,1,2.25659762327005801585865241798
0.5,0.3333333333333,2,0.623402819666677836004251289761
0.5,0.5,1,1.92326428993672468252531908465
0.5,0.5,2,0.290069486333344502670917956428
0.5,1,1,0.923264289936724682525319084651
0.5,1,2,-0.709930513666655497329082043572
1,-1,1,2.46163214496836234126265954233
1,-1,2,1.93301261828159457591335835916
1,-0.5,1,1.96163214496836234126265954233
1,-0.5,2,1.43301261828159457591335835916
1,0.33333333333,1,1.79496547830169567459599287566
1,0.33333333333,2,1.266345951614927909246691692493
1,0,1,1.46163214496836234126265954233
1,0,2,0.933012618281594575913358359159
1,0.3333333333333,1,1.128298811635029007929326208992
1,0.3333333333333,2,0.599679284948261242580025025826
1,0.5,1,0.961632144968362341262659542326
1,0.5,2,0.433012618281594575913358359159
1,1,1,0.461632144968362341262659542326
1,1,2,-0.0669873817184054240866416408408
2,-1,1,1.230816072484181170631329771163
2,-1,2,1.077891220300193017220829190834
2,-0.5,1,0.980816072484181170631329771163
2,-0.5,2,0.827891220300193017220829190834
2,0.33333333333,1,0.89748273915084783729799643783
2,0.33333333333,2,0.7445578869668596838874958575
2,0,1,0.730816072484181170631329771163
2,0,2,0.577891220300193017220829190834
2,0.3333333333333,1,0.564149405817514503964663104496
2,0.3333333333333,2,0.411224553633526350554162524167
2,0.5,1,0.480816072484181170631329771163
2,0.5,2,0.327891220300193017220829190834
2,1,1,0.230816072484181170631329771163
2,1,2,0.0778912203001930172208291908337
1.5,-1,1,1.64108809664557489417510636155
1.5,-1,2,1.38247132327872454084559956417
1.5,-0.5,1,1.30775476331224156084177302822
1.5,-0.5,2,1.049137989945391207512266230841
1.5,0.33333333333,1,1.196643652201130449730661917106
1.5,0.33333333333,2,0.93802687883428009640115511973
1.5,0,1,0.974421429978908227508439694884
1.5,0,2,0.715804656612057874178932897508
