a,b,c,root0
3.5,0.16666666666666666,10.,0.22457269024121068
3.5,0.16666666666666666,7.,0.24181978868965512
3.5,0.16666666666666666,4.,0.2722523889165415
3.5,-0.16666666666666666,10.,0.3198107854793059
3.5,-0.16666666666666666,7.,0.3370578839277504
3.5,-0.16666666666666666,4.,0.36749048415463675
3.5,-0.8333333333333334,10.,0.5102869759554964
3.5,-0.8333333333333334,7.,0.5275340744039408
3.5,-0.8333333333333334,4.,0.5579666746308273
1.1,1,1,0.419666
1.2,1,1,0.384693
1.3, 1, 1, 0.355102 
1.4, 1, 1, 0.329737 
1.5, 1, 1, 0.307755 
1.6, 1, 1, 0.28852
1.7, 1, 1, 0.271548 
1.8, 1, 1, 0.256462 
1.9, 1, 1, 0.242964
1.1, 0, 1, 1.328756
0.9, 0, 1, 1.6240357
{{1.1, 1.1, 1, 0.328756}, {1.2, 1.1, 1, 0.30136}, {1.3, 1.1, 1, 0.278179},

>    {1.4, 1.1, 1, 0.258309}, {1.5, 1.1, 1, 0.241088}, {1.6, 1.1, 1, 0.22602}, {1.7, 1.1, 1, 0.212725},

>    {1.8, 1.1, 1, 0.200907}, {1.9, 1.1, 1, 0.190333}}
0.8, 0, 1, 1.82704018
0.7, 0 ,1, 2.08804592
0.6, 0, 1, 2.43605357
0.5, 0, 1, 2.9232642899

